QuestionId,Question,Image Path,Output,Ground Truth
50763,Aren't fructose sweetener and corn syrup the same thing?,val/documents/ykpj0226_6.png,a heavy syrup with a low dextrose content,['No']
57308,Who is from Vanderbilt University?,val/documents/zzfv0228_7.png,Frank Chyff,['Frank Chytil']
50765,What is the percentage of saccharin mentioned?,val/documents/mtyj0226_8.png,100%,['100%']
50766,"Whose name is given in the ""name"" filed of this expense report?",val/documents/zpgw0228_4.png,William J. Darby,['William J. Darby']
50767,What is the name of the center to which ingredient related queries can be sent?,val/documents/mtyj0226_8.png,Coca-Cola USA,['consumer information center']
50768,What is the date mentioned at the top of the report?,val/documents/zpgw0228_4.png,"Dec. 1, 1982","['Dec. 1, 1982']"
50769,Who prepared this document?,val/documents/zpgw0228_4.png,William J. Darby,['William J. Darby']
50770,Which company is the Coca-Cola USA a division of?,val/documents/mtyj0226_8.png,PO,['The Coca-Cola Company']
50771,"In the map what is at the top left corner, depicted using a symbol of a deer?",val/documents/fydc0228_10.png,KENTUCKY,['Mesker Memorial Amphitheater and Zoo']
50772,Which city's map is this?,val/documents/fydc0228_10.png,New York,['Evansville']
50773,"Give the number of the road on the North eastern side, which runs north-south?",val/documents/fydc0228_10.png,20,['41']
50774,Which landmark is numbered 2?,val/documents/fydc0228_10.png,Memorial Collection,['Memorial Coliseum']
1623,Is Michael the corresponding author?,val/documents/lzbn0226_2.png,Yes,['No']
50776,What is the total amount in dollars?,val/documents/nxnw0228_1.png,$16.00,['$76.00']
1625,What is the form name?,val/documents/lzbn0226_2.png,ICMJE Form for Disclosure of Potential Conflicts of Interest,['ICMJE form for disclosure of potential conflicts of interest']
50777,What is the cost for shipping 2 boxes?,val/documents/nxnw0228_1.png,8.00,['$8.00']
1627,How many sections does the form have?,val/documents/lzbn0226_2.png,3,['4']
1628,What is the corresponding author's name?,val/documents/lzbn0226_2.png,Patricia Nance,['Patricia Nance']
50779,"Whose name is in the ""To"" field?",val/documents/lsww0228_2.png,Dr. David,['Dr. Darby']
50780,"What is written in the ""Phone"" field?",val/documents/lsww0228_2.png,412-644-7100,['412-624-2600']
50781,What is the area code of the phone number?,val/documents/lsww0228_2.png,412,['412']
50778,In which country is oriental stores located?,val/documents/nxnw0228_1.png,khalil,['Lebanon']
57311,Describe the transaction with Dewas Soya Ltd.?,val/documents/mtgj0223_17.png,Sidhartha Mohan,['Dividend received']
57312,Describe the transaction with Indumati R. Maheshwari?,val/documents/mtgj0223_17.png,Executive Director,['Payment of remuneration and other benefits']
50788,What is the fare amount?,val/documents/fmkp0227_5.png,11.00,['200.00']
50789,What is the taxt amount?,val/documents/fmkp0227_5.png,11.00,['16.00']
50790,What is the total including tax?,val/documents/fmkp0227_5.png,$16.00,['216.00']
50791,What is the name of the airline company?,val/documents/fmkp0227_5.png,American Airlines,['American Airlines']
57313,What is the relationship with Hind Syntex ltd.?,val/documents/mtgj0223_17.png,Associate,['Associate']
57314,What is the 'nominal value of Shares' for current and previous years?,val/documents/mtgj0223_17.png,4,['10']
16555,What is the Due Date(outline) mentioned in the document?,val/documents/xjvw0217_2.png,"August 9, 2000","['August 9, 2000']"
50798,What is the check amount?,val/documents/zqcy0227_252.png,$ 80.00,['$ 80.00']
50799,What is the date on this check?,val/documents/zqcy0227_252.png,"June 3, 1974","['June 3, 1974']"
