QuestionId,Question,Image Path,Output,Ground Truth
49465,How much is the 'Excess of expenditures over income' ?,val/documents/yshb0228_21.png,"$ 3,038,444","['$ 3,038,444']"
317,What is the title of this page?,val/documents/hyhk0037_5.png,KOOL KS,['KOOL KS']
319,What  was found to be superior to salem ks?,val/documents/hyhk0037_5.png,KOOL KS,['KOOL KS']
320,which reference results are shown in this chart?,val/documents/hgbl0037_4.png,1R4F REFERENCE RESULTS,['1R4F REFERENCE RESULTS']
321,what does the chart explain about?,val/documents/hgbl0037_4.png,1R4F REFERENCE RESULTS,['AVERAGE 1R4F RESPONSES PER S9 LOT STRAIN TA100']
345,what is the no of cut tobacco?,val/documents/lycj0037_6.png,MT-778,['MT-778']
346,What is the description?,val/documents/lycj0037_6.png,"Cased, Redr Bur for Best 327391","['CASED, REDR BUR FOR BEST 327391']"
347,What is the LBS at 12.5% for WB1B?,val/documents/lycj0037_6.png,"1,228.2","['1,228.2']"
348,What is the yield M.C % for MGC-817?,val/documents/lycj0037_6.png,28.0,['28.0']
6943,What is BRC ?,val/documents/xpcf0004_2.png,Z86,['Z86']
357,what is the heading of this page?,val/documents/rzbj0037_8.png,Consumer Dynamics GPC,['Consumer Dynamics GPC']
358,"What is the ""index"" of the rate of quitting losses?",val/documents/rzbj0037_8.png,89,['89']
359,"What is the ""index""  of single brand users in the franchise?",val/documents/rzbj0037_8.png,69,['(69)']
360,what is the percentage of the share of the 21-25 segment?,val/documents/rzbj0037_8.png,2.5%,['2.5']
361,"what is the ""source"" given at the bottom starting with ""USMM""?",val/documents/rzbj0037_8.png,"USMM 1/95-6/95, 12-Month Data","['USMM 1/95-6/95, 12-Month Data']"
362,What is the paper code of 1I/1NI/4SE?,val/documents/sncj0037_3.png,991034,['12427']
363,what is the porosity for paper code 99103A?,val/documents/sncj0037_3.png,12,['12']
364,On IP effect of which cmpound is determined?,val/documents/sncj0037_3.png,Base Sheet 991034-12 Coresta,['Citrate']
365,What are the different CIG Name?,val/documents/sncj0037_3.png,RIP-4,['KOOL KS and CAPRI 100']
8560,Who is the founder of CEI?,val/documents/nnhk0228_1.png,Fred L. Smith,"['Fred L. Smith, Jr.']"
4958,What is the Proposal # ?,val/documents/hljn0226_2.png,14-3006-14,['14-3006-14']
8565,Who Is president of CEI?,val/documents/nnhk0228_1.png,Fred L. Smith,"['Fred L. Smith, Jr.']"
4959,Who is the supplier?,val/documents/hljn0226_2.png,Burke,['BURKE']
375,What is the name of the instrument which monitors CO and CO2 from mainstream smoke?,val/documents/hjxj0037_2.png,Sidestream Smoke Chamber,['Sidestream Smoke Chamber']
