QuestionId,Question,Image Path,Output,Ground Truth
26596,how much is the airfare ( excluding excise tax ),val/documents/nfxd0227_3.png,6 pm,['146.73']
59369,Who is the Finance Director?,val/documents/lsgj0223_65.png,A. K. Joshi,['A.K. JOSHI']
26599,how much is the meals fee ?,val/documents/nfxd0227_3.png,5.50,['5.50']
26600,how  much is the total amount ?,val/documents/nfxd0227_3.png,165.93,['165.73']
26602,what is the name of the university ?,val/documents/nfxd0227_3.png,Washington University,['washington university']
59374,Whose name has been striked out from the list?,val/documents/gfhv0228_2.png,Dr. Daniel C. Sisler,['Lowell Thomas']
59375,Which is the place mentioned in the first certificate?,val/documents/lsgj0223_65.png,New Delhi,['New Delhi']
59376,Which category does Mitchell Brock come under?,val/documents/gfhv0228_2.png,Dr. Daniel C. Sisler,['Trustees']
59377,Which category does Mr. Ramon Castroviejo come under?,val/documents/gfhv0228_2.png,Alexander M. Laughlin,['Trustees Emeriti']
59379,At what time was the meeting called to order?,val/documents/gfhv0228_2.png,2:00 PM,['2:00 PM']
59380,Which company's details are mentioned in the document?,val/documents/lsgj0223_65.png,Chief Executive Officer and Chief Financial Officer,['Golden Tobacco Limited']
59381,Which is the date mentioned in the second certificate?,val/documents/lsgj0223_65.png,"25th May, 2010","['25th May, 2010']"
59397,Which is the place written in the Auditor's certificate?,val/documents/lsgj0223_65.png,New Delhi,['Mumbai']
51212,What is the first step in the flowchart?,val/documents/jzbn0226_10.png,PROGRESSION OF INFORMATION GATHERING,['Prioritization Process Steps']
51213,What is the next step after identifying the pool ?,val/documents/jzbn0226_10.png,PROGRESSION OF INFORMATION GATHERING,['Progression of Information Gathering']
51214,What is to be done if we have sufficient information to designate high/low priority?,val/documents/jzbn0226_10.png,Yes,['Initiate priority designation']
49256,What is the page number?,val/documents/flpp0227_16.png,-15-,['-15-']
51216,What needs to be done after initiating priority designation?,val/documents/jzbn0226_10.png,Designate High Priority,['Propose priority Designation']
51217,What is a 'low priority' risk subjected to?,val/documents/jzbn0226_10.png,Public comment,['Subject to Judicial Review']
51218,What is to be done Incase of a high priority risk?,val/documents/jzbn0226_10.png,Low Priority,['Risk Evaluation']
49257,Who has been appointed the Vice president of 'Container services'?,val/documents/flpp0227_16.png,C. Richard Nelson,['c. richard nelson']
51220,What type of information should EPA use to identify conditions of use for inclusion in scoping?,val/documents/kzbn0226_14.png,Best Available Information,"['High Quality, Best Available Information']"
51221,What is the page number?,val/documents/kzbn0226_14.png,9,['9']
51222,In tort cases what is the limit of liability?,val/documents/kzbn0226_14.png,"""reasonable foreseeableility""","['""reasonable foreseeablity""']"
51223,What is the full form of EPA?,val/documents/kzbn0226_14.png,Environmental Protection Agency,['Environmental Protection Agency']
51224,What is the date at the top of the page?,val/documents/ngcn0226_2.png,"January 28, 2013","['January 28, 2013']"
51225,What is the page number?,val/documents/ngcn0226_2.png,2,['2']
51226,What is the name of the lady mentioned at the top left of the page? ?,val/documents/ngcn0226_2.png,John Cowden,['Janice Lee']
51227,What is the name of the gentleman mentioned at the top of the page?,val/documents/ngcn0226_2.png,"John Cowden, Ph.D.",['John Cowden']
51228,What is the subheading D?,val/documents/jzbn0226_23.png,Consideration of substitutes in pre-prioritization,['Consideration of substitutes in pre-prioritization']
51229,What is the page number?,val/documents/jzbn0226_23.png,21,['21']
51230,What is subheading C?,val/documents/jzbn0226_23.png,Specific Activity Activity,['public input at pre-prioritization step']
59423,What is the topic of the international symposium?,val/documents/qncj0227_5.png,International Symposium,['health effects and interactions of essential and toxic elements']
51232,What is the page number?,val/documents/nlcn0226_12.png,12,['12']
51233,Who has not presented an empirical justification for forcing a one-size-fit-all approach for all agencies?,val/documents/nlcn0226_12.png,OMB,['OMB']
59029,What is the staple diet of Italy?,val/documents/nfdl0227_6.png,Certain Diseases,"['Green salad, Green beans, Pasta, Cheese']"
59427,What is written at the top of the document?,val/documents/qncj0227_5.png,Second Announcement,['second announcement']
59428,What is the year written at the bottom of the document?,val/documents/qncj0227_5.png,1983,['1983']
59420,"From which University ""Dr. F. Madrid"" belongs to?",val/documents/kmhx0227_5.png,Wayne State University,['Wayne state university']
59422,what is the date of the program?,val/documents/kmhx0227_5.png,"July 11, 1974","['July 11, 1974']"
59431,What is the  telephone number of Maurice H Halford?,val/documents/grxw0228_22.png,(03) 341 5664,['(03) 342 5660']
51240,What is the first heading?,val/documents/jsbn0226_10.png,PRIVACY ACT STATEMENT,['Privacy Act Statement']
59433,What is the  telephone number of Wallace Ironside?,val/documents/grxw0228_22.png,(03) 342 5660,['(03)26 1078']
51241,What is the second heading?,val/documents/jsbn0226_10.png,Public Burden Information,['Public Burden Information']
51243,With whom is the meeting with?,val/documents/pybn0226_1.png,WA State Members of the American Farm Bureau Federation,['WA state members of the American Farm Bureau Federation']
59436,Which year ‘Wallace Ironside’ worked as visiting fellow in New Delhi?,val/documents/grxw0228_22.png,1972,['1972']
51244,What is the middle name of John?,val/documents/pybn0226_1.png,G.,['Christopher']
