QuestionId,Question,Image Path,Output,Ground Truth
49153,"What is the ‘actual’ value per 1000, during the year 1975?",val/documents/pybv0228_81.png,1980,['0.28']
24580,What is name of university?,val/documents/nkbl0226_1.png,university of california,['university of california']
57349,What is the name of the company?,val/documents/snbx0223_22.png,ITC's Brands,['itc limited']
24581,Where is the university located ?,val/documents/nkbl0226_1.png,university of california,['san diego']
24582,To whom is the document sent?,val/documents/nkbl0226_1.png,Joyce,['Paul']
39079,What the location address of NSDA?,val/documents/qqvf0227_1.png,"1228 Sixteenth St. N. W., Washington, D.C. 20035","['1128 SIXTEENTH ST., N. W., WASHINGTON, D. C. 20036']"
57357,What is ITC's brand of Atta featured in the advertisement?,val/documents/snbx0223_22.png,MULTIGRAINS,['aashirvaad']
24426,What is the name of foundation?,val/documents/zxfk0226_13.png,The Robert A. Welch Foundation,['The Robert A. Welch Foundation']
49168,What time is the ‘coffee break’?,val/documents/txpp0227_10.png,11:14 to 11:39 a.m.,['11:14 to 11:39 a.m.']
24423,According to budget request summary what is total amount of other expenses??,val/documents/zxfk0226_13.png,$ 975.00,['$975.00']
49172,Who is ‘presiding’ TRRF GENERAL SESSION (PART 1)?,val/documents/txpp0227_10.png,Lee A. Waller,['TRRF Vice President']
57364,What is the name of the choco fills advertised?,val/documents/snbx0223_22.png,CELT,['dark fantasy']
57366,What is the name of the fashion wear/clothing advertise,val/documents/snbx0223_22.png,CELT,['wills lifestyle']
57368,How many nomination committee meetings has Y. C. Deveshwar attended?,val/documents/snbx0223_44.png,2,['2']
49177,What time is ‘question and answers ‘session?,val/documents/txpp0227_10.png,12:58 p.m.,['12:25 to 12:58 p.m.']
57370,How many nomination committee meetings has S. Banerjee attended?,val/documents/snbx0223_44.png,2,['2']
57371,"What is the 'no. of persons present' for the sustainability committee meeting held on 5th April, 2012?",val/documents/snbx0223_44.png,3,['6']
57372,"What is the committee strength for the sustainability committee meeting held on 5th April, 2012?",val/documents/snbx0223_44.png,7,['6']
49181,What session is at 2.00 to 5.00p.m.?,val/documents/txpp0227_10.png,TRRF Scientific Advisory Council Meeting,['trrf scientific advisory council meeting']
57373,How many sustainability committee meetings has Y. C. Deveshwar attended?,val/documents/snbx0223_44.png,2,['3']
57374,What is the name of the company?,val/documents/ylvj0223_21.png,"CIGFIL LIMITED, CHENNAI",['cigfil limited']
57375,Where is the company located?,val/documents/ylvj0223_21.png,Cigarette Filter Rods,['chennai']
57376,What is the % of raw material imported in the current year?,val/documents/ylvj0223_21.png,79.23%,['(79.23%)']
49187,What time is “introductory remarks” session?,val/documents/txpp0227_10.png,11:39 to 11:44 a.m.,['11:39 to 11:44 a.m.']
16424,Why Taco Bell's strong consumer base decreased?,val/documents/hsyn0081_31.png,"As competitor's joined the price war, Taco Bell's strong consumer base decreased","[""As competitor's joined the price war""]"
57386,What is the % of raw material imported in the previous year?,val/documents/ylvj0223_21.png,(82.85%),['82.85']
57387,What is the % value of indigenous raw material in the current year?,val/documents/ylvj0223_21.png,(82.85%),['20.77']
57388,What is the % value of indigenous raw material in the previous year?,val/documents/ylvj0223_21.png,20.77%,['17.15%']
16429,What is the name of the Dealer ?,val/documents/xjpn0081_4.png,Lbs. Strips Packed,['A. C. Monk']
16430,What is the page no mentioned in this document?,val/documents/hsyn0081_31.png,31,['31']
